date,MRO
2015-08-11,16.381443776
2015-08-12,16.537622795
2015-08-13,15.6352551294
2015-08-14,15.0973051749
2015-08-17,15.2448075818
2015-08-18,15.350186436
2015-08-19,14.2524900376
2015-08-20,14.1646743257
2015-08-21,13.8134114782
2015-08-24,12.636680939
2015-08-25,12.3293259475
2015-08-26,12.8650017899
2015-08-27,14.0241691867
2015-08-28,14.6213160275
2015-08-31,15.1833365835
2015-09-01,14.7969474512
2015-09-02,14.8145105936
2015-09-03,14.8145105936
2015-09-04,14.366650463
2015-09-08,14.3315241783
2015-09-09,13.0933226408
2015-09-10,13.1547936391
2015-09-11,13.2513909222
2015-09-14,13.5324012002
2015-09-15,13.5675274849
2015-09-16,14.2349268952
2015-09-17,14.4281214613
2015-09-18,13.9100087613
2015-09-21,14.1471111833
2015-09-22,13.7519404799
2015-09-23,13.4358039171
2015-09-24,13.5675274849
2015-09-25,13.8309746206
2015-09-28,12.961599073
2015-09-29,13.1460120679
2015-09-30,13.523619629
2015-10-01,13.4445854883
2015-10-02,14.6300975986
2015-10-05,15.8507359937
2015-10-06,16.8342719667
2015-10-07,16.8342719667
2015-10-08,17.7212106567
2015-10-09,17.2030979566
2015-10-12,16.6498589718
2015-10-13,16.3249408379
2015-10-14,16.6059511159
2015-10-15,17.0625928176
2015-10-16,16.9308692498
2015-10-19,16.052712131
2015-10-20,16.2985961243
2015-10-21,15.8243912802
2015-10-22,16.2283435548
2015-10-23,16.0702752734
2015-10-26,15.4467837191
2015-10-27,15.0252683021
2015-10-28,15.5258178598
2015-10-29,15.4116574343
2015-10-30,16.1405278429
2015-11-02,16.6937668277
2015-11-03,17.2645689549
2015-11-04,17.0362481041
2015-11-05,16.6849852566
2015-11-06,16.0614937022
2015-11-09,16.1229647005
2015-11-10,16.4917906904
2015-11-11,15.1921181547
2015-11-12,15.1043024428
2015-11-13,15.0516130157
2015-11-16,15.7365755683
2015-11-17,15.595677298
2015-11-18,15.762993994
2015-11-19,15.5340343047
2015-11-20,15.340299183
2015-11-23,15.4371667438
2015-11-24,16.2913625077
2015-11-25,15.9479229738
2015-11-27,15.3579114668
2015-11-30,15.41955446
2015-12-01,15.5252281628
2015-12-02,14.6798385408
2015-12-03,14.574164838
2015-12-04,14.1955007365
2015-12-07,13.0154777224
2015-12-08,13.1387637089
2015-12-09,12.7689057493
2015-12-10,12.9802531548
2015-12-11,12.628007479
2015-12-14,12.2933740869
2015-12-15,12.7336811817
2015-12-16,12.1348635328
2015-12-17,11.2542493432
2015-12-18,10.9812589444
2015-12-21,11.0252896539
2015-12-22,11.1749940661
2015-12-23,12.2933740869
2015-12-24,12.2669556612
2015-12-28,11.4303721811
2015-12-29,11.4744028906
2015-12-30,10.9020036673
2015-12-31,11.0869326472
